time,temperature_2m,apparent_temperature,precipitation_probability,precipitation,wind_speed_10m,wind_gusts_10m,relative_humidity_2m,uv_index,Cidade,Data
2026-07-19 00:00:00,18.6,16.7,0,0.0,11.5,24.8,55,0.0,Uberlândia - MG,2026-07-19
2026-07-19 01:00:00,18.0,16.2,0,0.0,10.9,24.5,57,0.0,Uberlândia - MG,2026-07-19
2026-07-19 02:00:00,16.9,15.1,0,0.0,11.3,22.7,61,0.0,Uberlândia - MG,2026-07-19
2026-07-19 03:00:00,15.8,14.1,0,0.0,10.4,23.0,65,0.0,Uberlândia - MG,2026-07-19
2026-07-19 04:00:00,15.6,13.6,0,0.0,11.6,23.8,64,0.0,Uberlândia - MG,2026-07-19
2026-07-19 05:00:00,15.6,13.4,0,0.0,12.2,25.9,63,0.0,Uberlândia - MG,2026-07-19
2026-07-19 06:00:00,15.5,13.2,0,0.0,12.3,25.9,63,0.0,Uberlândia - MG,2026-07-19
2026-07-19 07:00:00,15.4,13.2,0,0.0,12.6,26.3,63,0.0,Uberlândia - MG,2026-07-19
2026-07-19 08:00:00,17.0,15.1,0,0.0,10.7,29.2,59,0.5,Uberlândia - MG,2026-07-19
2026-07-19 09:00:00,19.3,16.8,0,0.0,15.5,37.4,52,1.85,Uberlândia - MG,2026-07-19
2026-07-19 10:00:00,21.1,18.0,0,0.0,19.6,48.2,47,3.5,Uberlândia - MG,2026-07-19
2026-07-19 11:00:00,22.7,19.8,0,0.0,21.5,53.6,41,5.0,Uberlândia - MG,2026-07-19
2026-07-19 12:00:00,23.8,21.7,0,0.0,19.2,53.6,38,5.95,Uberlândia - MG,2026-07-19
2026-07-19 13:00:00,24.8,23.3,0,0.0,16.2,49.0,35,6.2,Uberlândia - MG,2026-07-19
2026-07-19 14:00:00,25.5,23.9,0,0.0,14.3,42.8,33,5.7,Uberlândia - MG,2026-07-19
2026-07-19 15:00:00,25.7,23.6,0,0.0,13.1,38.9,33,4.55,Uberlândia - MG,2026-07-19
2026-07-19 16:00:00,25.4,23.0,0,0.0,12.7,36.0,33,2.95,Uberlândia - MG,2026-07-19
2026-07-19 17:00:00,24.7,22.3,0,0.0,12.5,33.5,35,1.35,Uberlândia - MG,2026-07-19
2026-07-19 18:00:00,22.9,21.0,0,0.0,10.6,31.0,41,0.2,Uberlândia - MG,2026-07-19
2026-07-19 19:00:00,21.9,20.1,0,0.0,11.5,24.8,45,0.0,Uberlândia - MG,2026-07-19
2026-07-19 20:00:00,21.0,18.9,0,0.0,13.7,29.2,49,0.0,Uberlândia - MG,2026-07-19
2026-07-19 21:00:00,20.1,18.1,0,0.0,14.0,29.9,53,0.0,Uberlândia - MG,2026-07-19
2026-07-19 22:00:00,19.6,17.7,0,0.0,13.9,30.2,56,0.0,Uberlândia - MG,2026-07-19
2026-07-19 23:00:00,19.3,17.5,0,0.0,13.5,29.5,56,0.0,Uberlândia - MG,2026-07-19
2026-07-20 00:00:00,19.1,17.2,0,0.0,13.5,29.2,56,0.0,Uberlândia - MG,2026-07-20
2026-07-20 01:00:00,18.9,16.9,0,0.0,13.9,29.5,56,0.0,Uberlândia - MG,2026-07-20
2026-07-20 02:00:00,18.7,16.6,0,0.0,14.0,29.9,56,0.0,Uberlândia - MG,2026-07-20
2026-07-20 03:00:00,18.1,16.2,0,0.0,11.8,29.5,57,0.0,Uberlândia - MG,2026-07-20
2026-07-20 04:00:00,17.4,15.6,0,0.0,10.5,24.8,59,0.0,Uberlândia - MG,2026-07-20
2026-07-20 05:00:00,17.0,15.1,0,0.0,11.0,22.7,59,0.0,Uberlândia - MG,2026-07-20
2026-07-20 06:00:00,16.7,14.9,0,0.0,10.1,22.3,59,0.0,Uberlândia - MG,2026-07-20
2026-07-20 07:00:00,16.4,14.6,0,0.0,10.1,20.9,61,0.0,Uberlândia - MG,2026-07-20
2026-07-20 08:00:00,18.0,16.4,0,0.0,9.1,22.7,56,0.5,Uberlândia - MG,2026-07-20
2026-07-20 09:00:00,20.2,18.3,0,0.0,11.6,29.5,50,1.9,Uberlândia - MG,2026-07-20
2026-07-20 10:00:00,22.2,19.9,0,0.0,15.3,39.2,45,3.55,Uberlândia - MG,2026-07-20
2026-07-20 11:00:00,23.7,22.0,0,0.0,15.8,41.8,41,5.0,Uberlândia - MG,2026-07-20
2026-07-20 12:00:00,25.0,23.6,0,0.0,15.0,42.1,36,5.95,Uberlândia - MG,2026-07-20
2026-07-20 13:00:00,25.8,24.8,0,0.0,12.4,40.3,33,6.2,Uberlândia - MG,2026-07-20
2026-07-20 14:00:00,26.3,25.1,0,0.0,10.7,35.3,31,5.7,Uberlândia - MG,2026-07-20
2026-07-20 15:00:00,26.4,24.7,0,0.0,10.1,31.7,30,4.55,Uberlândia - MG,2026-07-20
2026-07-20 16:00:00,26.0,24.0,0,0.0,9.9,29.5,31,3.0,Uberlândia - MG,2026-07-20
2026-07-20 17:00:00,25.2,23.1,0,0.0,10.7,28.1,33,1.35,Uberlândia - MG,2026-07-20
2026-07-20 18:00:00,23.5,21.4,0,0.0,10.8,27.4,37,0.25,Uberlândia - MG,2026-07-20
2026-07-20 19:00:00,22.6,20.6,0,0.0,11.3,25.2,40,0.0,Uberlândia - MG,2026-07-20
2026-07-20 20:00:00,22.0,20.4,0,0.0,9.4,23.4,44,0.0,Uberlândia - MG,2026-07-20
2026-07-20 21:00:00,21.1,19.4,0,0.0,10.1,22.3,47,0.0,Uberlândia - MG,2026-07-20
2026-07-20 22:00:00,20.2,18.7,0,0.0,10.0,22.0,51,0.0,Uberlândia - MG,2026-07-20
2026-07-20 23:00:00,19.6,18.2,0,0.0,9.3,21.2,54,0.0,Uberlândia - MG,2026-07-20
2026-07-21 00:00:00,19.3,18.1,0,0.0,8.0,19.1,55,0.0,Uberlândia - MG,2026-07-21
2026-07-21 01:00:00,19.0,17.7,0,0.0,8.1,16.9,55,0.0,Uberlândia - MG,2026-07-21
2026-07-21 02:00:00,18.6,17.3,0,0.0,8.5,17.6,57,0.0,Uberlândia - MG,2026-07-21
2026-07-21 03:00:00,18.3,16.8,0,0.0,9.5,19.4,56,0.0,Uberlândia - MG,2026-07-21
2026-07-21 04:00:00,17.9,16.2,0,0.0,9.9,20.5,57,0.0,Uberlândia - MG,2026-07-21
2026-07-21 05:00:00,17.4,15.8,0,0.0,8.6,19.8,57,0.0,Uberlândia - MG,2026-07-21
2026-07-21 06:00:00,17.0,15.4,0,0.0,8.4,17.3,57,0.0,Uberlândia - MG,2026-07-21
2026-07-21 07:00:00,17.0,15.4,0,0.0,7.1,16.9,56,0.0,Uberlândia - MG,2026-07-21
2026-07-21 08:00:00,18.8,17.2,0,0.0,7.7,17.3,50,0.55,Uberlândia - MG,2026-07-21
2026-07-21 09:00:00,21.3,19.5,0,0.0,8.8,24.5,43,1.9,Uberlândia - MG,2026-07-21
2026-07-21 10:00:00,23.6,21.2,0,0.0,13.3,34.2,38,3.6,Uberlândia - MG,2026-07-21
2026-07-21 11:00:00,24.9,22.6,0,0.0,15.7,41.8,32,5.05,Uberlândia - MG,2026-07-21
2026-07-21 12:00:00,25.7,24.0,0,0.0,14.0,41.4,30,6.05,Uberlândia - MG,2026-07-21
2026-07-21 13:00:00,26.4,25.1,0,0.0,12.2,38.5,29,6.3,Uberlândia - MG,2026-07-21
2026-07-21 14:00:00,26.9,25.6,0,0.0,10.4,35.3,28,5.8,Uberlândia - MG,2026-07-21
2026-07-21 15:00:00,27.1,25.2,0,0.0,10.2,31.3,28,4.6,Uberlândia - MG,2026-07-21
2026-07-21 16:00:00,26.8,24.6,0,0.0,9.8,29.9,29,3.0,Uberlândia - MG,2026-07-21
2026-07-21 17:00:00,26.1,24.1,0,0.0,8.3,27.7,30,1.4,Uberlândia - MG,2026-07-21
2026-07-21 18:00:00,24.1,23.1,0,0.0,2.5,21.6,35,0.25,Uberlândia - MG,2026-07-21
2026-07-21 19:00:00,23.0,22.3,0,0.0,1.5,5.8,39,0.0,Uberlândia - MG,2026-07-21
2026-07-21 20:00:00,21.9,21.0,0,0.0,3.1,7.6,41,0.0,Uberlândia - MG,2026-07-21
2026-07-21 21:00:00,21.2,20.2,0,0.0,4.3,9.0,45,0.0,Uberlândia - MG,2026-07-21
2026-07-21 22:00:00,20.9,19.7,0,0.0,5.9,13.3,46,0.0,Uberlândia - MG,2026-07-21
2026-07-21 23:00:00,20.3,18.7,0,0.0,7.4,15.5,46,0.0,Uberlândia - MG,2026-07-21
2026-07-22 00:00:00,19.9,18.0,0,0.0,8.9,18.4,45,0.0,Uberlândia - MG,2026-07-22
2026-07-22 01:00:00,19.6,17.7,0,0.0,7.8,18.0,45,0.0,Uberlândia - MG,2026-07-22
2026-07-22 02:00:00,19.1,17.6,0,0.0,6.0,15.8,48,0.0,Uberlândia - MG,2026-07-22
2026-07-22 03:00:00,18.5,17.3,0,0.0,4.5,13.0,51,0.0,Uberlândia - MG,2026-07-22
2026-07-22 04:00:00,18.1,16.8,0,0.0,5.0,10.8,53,0.0,Uberlândia - MG,2026-07-22
2026-07-22 05:00:00,17.7,16.5,0,0.0,4.9,12.2,54,0.0,Uberlândia - MG,2026-07-22
2026-07-22 06:00:00,17.2,16.3,0,0.0,3.1,10.4,57,0.0,Uberlândia - MG,2026-07-22
2026-07-22 07:00:00,16.7,15.8,0,0.0,3.1,7.2,58,0.0,Uberlândia - MG,2026-07-22
2026-07-22 08:00:00,18.9,17.7,0,0.0,5.2,13.0,51,0.55,Uberlândia - MG,2026-07-22
2026-07-22 09:00:00,21.9,20.6,0,0.0,5.3,17.3,41,1.9,Uberlândia - MG,2026-07-22
2026-07-22 10:00:00,24.3,22.3,0,0.0,9.6,27.7,35,3.6,Uberlândia - MG,2026-07-22
2026-07-22 11:00:00,26.2,24.3,0,0.0,11.5,32.4,29,5.1,Uberlândia - MG,2026-07-22
2026-07-22 12:00:00,27.5,25.5,0,0.0,13.9,37.8,25,6.05,Uberlândia - MG,2026-07-22
2026-07-22 13:00:00,28.0,26.1,0,0.0,13.8,38.9,23,6.3,Uberlândia - MG,2026-07-22
2026-07-22 14:00:00,28.3,26.0,0,0.0,13.0,38.2,22,5.8,Uberlândia - MG,2026-07-22
2026-07-22 15:00:00,28.1,25.3,0,0.0,12.2,36.4,21,4.65,Uberlândia - MG,2026-07-22
2026-07-22 16:00:00,27.7,24.5,0,0.0,11.9,33.8,22,3.05,Uberlândia - MG,2026-07-22
2026-07-22 17:00:00,26.9,23.6,0,0.0,12.2,31.7,23,1.4,Uberlândia - MG,2026-07-22
2026-07-22 18:00:00,25.2,22.2,0,0.0,10.0,30.2,25,0.25,Uberlândia - MG,2026-07-22
2026-07-22 19:00:00,24.4,22.2,0,0.0,5.4,19.8,27,0.0,Uberlândia - MG,2026-07-22
2026-07-22 20:00:00,24.1,22.4,0,0.0,3.8,11.2,30,0.0,Uberlândia - MG,2026-07-22
2026-07-22 21:00:00,23.9,23.0,0,0.0,0.6,7.2,34,0.0,Uberlândia - MG,2026-07-22
2026-07-22 22:00:00,22.9,21.6,0,0.0,2.6,6.8,35,0.0,Uberlândia - MG,2026-07-22
